rsi_entry,rsi_exit,exposure,tp_mult,sl_mult,bb_std,atr_window,bb_width_threshold,leverage,equity_2013,drawdown_2013,equity_2014,drawdown_2014,equity_2015,drawdown_2015,equity_2016,drawdown_2016,equity_2017,drawdown_2017,equity_2018,drawdown_2018,equity_2019,drawdown_2019,equity_2020,drawdown_2020,equity_2021,drawdown_2021,equity_2022,drawdown_2022,equity_2023,drawdown_2023,equity_2024,drawdown_2024,ret_2013,ret_2014,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,dd_2013,dd_2014,dd_2015,dd_2016,dd_2017,dd_2018,dd_2019,dd_2020,dd_2021,dd_2022,dd_2023,dd_2024,mean_return,mean_sq_return,mean_drawdown,var_return,std_return,rel_volatility,score
35.0,75.0,0.8999999761581421,2.0,13.0,1.75,14,0.0010000000474974513,30,1960.7032,0.63767385,25.217432,0.9747966,0.0,0.9891238,869.555,0.62558407,8173.6523,0.33980006,235.9207,0.88391674,172.19972,0.838614,0.0,0.98248863,34.990417,0.9835316,89.47371,0.99470246,333.09573,0.80887717,50.909588,0.9631629,0.00009607033,-0.00009747826,-0.0001,-0.000013044494,0.00071736524,-0.00007640792,-0.000082780025,-0.0001,-0.00009650095,-0.00009105263,-0.000066690416,-0.00009490904,0.00006376739,0.00009747966,0.00009891238,0.00006255841,0.000033980006,0.00008839167,0.0000838614,0.000098248864,0.00009835316,0.00009947024,0.000080887716,0.00009631629,-4.5234628e-7,4.9771966e-8,0.000083518935,4.977176e-8,0.00022309585,-493.19705,49.31969
35.0,75.0,0.8999999761581421,3.0,13.0,1.75,14,0.0010000000474974513,30,1960.7032,0.63767385,25.217432,0.9747966,0.0,0.9891238,869.555,0.62558407,8173.6523,0.33980006,235.9207,0.88391674,172.19972,0.838614,0.0,0.98248863,34.990417,0.9835316,89.47371,0.99470246,333.09573,0.80887717,50.909588,0.9631629,0.00009607033,-0.00009747826,-0.0001,-0.000013044494,0.00071736524,-0.00007640792,-0.000082780025,-0.0001,-0.00009650095,-0.00009105263,-0.000066690416,-0.00009490904,0.00006376739,0.00009747966,0.00009891238,0.00006255841,0.000033980006,0.00008839167,0.0000838614,0.000098248864,0.00009835316,0.00009947024,0.000080887716,0.00009631629,-4.5234628e-7,4.9771966e-8,0.000083518935,4.977176e-8,0.00022309585,-493.19705,49.31969
35.0,75.0,0.8999999761581421,4.0,13.0,1.75,14,0.0010000000474974513,30,1960.7032,0.63767385,25.217432,0.9747966,0.0,0.9891238,869.555,0.62558407,8173.6523,0.33980006,235.9207,0.88391674,172.19972,0.838614,0.0,0.98248863,34.990417,0.9835316,89.47371,0.99470246,333.09573,0.80887717,50.909588,0.9631629,0.00009607033,-0.00009747826,-0.0001,-0.000013044494,0.00071736524,-0.00007640792,-0.000082780025,-0.0001,-0.00009650095,-0.00009105263,-0.000066690416,-0.00009490904,0.00006376739,0.00009747966,0.00009891238,0.00006255841,0.000033980006,0.00008839167,0.0000838614,0.000098248864,0.00009835316,0.00009947024,0.000080887716,0.00009631629,-4.5234628e-7,4.9771966e-8,0.000083518935,4.977176e-8,0.00022309585,-493.19705,49.31969
35.0,75.0,0.8999999761581421,5.0,13.0,1.75,14,0.0010000000474974513,30,1960.7032,0.63767385,25.217432,0.9747966,0.0,0.9891238,869.555,0.62558407,8173.6523,0.33980006,235.9207,0.88391674,172.19972,0.838614,0.0,0.98248863,34.990417,0.9835316,89.47371,0.99470246,333.09573,0.80887717,50.909588,0.9631629,0.00009607033,-0.00009747826,-0.0001,-0.000013044494,0.00071736524,-0.00007640792,-0.000082780025,-0.0001,-0.00009650095,-0.00009105263,-0.000066690416,-0.00009490904,0.00006376739,0.00009747966,0.00009891238,0.00006255841,0.000033980006,0.00008839167,0.0000838614,0.000098248864,0.00009835316,0.00009947024,0.000080887716,0.00009631629,-4.5234628e-7,4.9771966e-8,0.000083518935,4.977176e-8,0.00022309585,-493.19705,49.31969
40.0,60.0,0.8999999761581421,0.10000000149011612,5.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,1.0,5.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,2.0,5.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,3.0,5.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,4.0,5.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,5.0,5.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,0.10000000149011612,7.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,1.0,7.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,2.0,7.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,3.0,7.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,4.0,7.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,5.0,7.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,0.10000000149011612,10.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,1.0,10.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,2.0,10.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,3.0,10.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,4.0,10.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,5.0,10.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,0.10000000149011612,11.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,1.0,11.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,2.0,11.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,3.0,11.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,4.0,11.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,5.0,11.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
40.0,60.0,0.8999999761581421,0.10000000149011612,12.0,1.25,14,0.003000000026077032,30,7700.9946,0.3938194,1884.3761,0.15016241,584.1383,0.97385174,0.0,0.99071026,36.38893,0.9651201,594.2652,0.6754768,273.5106,0.7413136,285.79044,0.8778166,42.349323,0.9576507,25.923178,0.9881238,440.1737,0.6292926,79.415955,0.9671336,0.00067009946,0.00008843761,-0.000041586165,-0.0001,-0.0000963611,-0.000040573475,-0.00007264894,-0.00007142095,-0.00009576506,-0.000097407676,-0.000055982626,-0.0000920584,0.00003938194,0.000015016241,0.00009738517,0.000099071025,0.000096512005,0.00006754768,0.000074131356,0.00008778166,0.00009576507,0.00009881237,0.00006292926,0.00009671335,-4.3894397e-7,4.334687e-8,0.00007758726,4.3346677e-8,0.00020819865,-474.31714,47.431698
